protein_id,gene,essential,evidence,database
PA0001,gyrB,1,synthetic_test_support,synthetic_public_fixture_v1
PA0002,rpoB,0,synthetic_test_support,synthetic_public_fixture_v1
PA0003,ftsZ,1,synthetic_test_support,synthetic_public_fixture_v1
PA0004,murA,1,synthetic_test_support,synthetic_public_fixture_v1
PA0005,fabI,0,synthetic_test_support,synthetic_public_fixture_v1
PA0006,acpP,0,synthetic_test_support,synthetic_public_fixture_v1
PA0007,oprD,0,synthetic_test_support,synthetic_public_fixture_v1
PA0008,lasB,1,synthetic_test_support,synthetic_public_fixture_v1
PA0009,algD,1,synthetic_test_support,synthetic_public_fixture_v1
PA0010,pvdA,1,synthetic_test_support,synthetic_public_fixture_v1
