probe,endpoint,url,final_status,cause_classification,returncode,http_status,content_type,payload_type,number_of_records,passes_contract,contract_provider,stdout_excerpt,stderr_excerpt,evidence_inferred,affects_score,blocks_ranking
dns,eutils.ncbi.nlm.nih.gov,,success,success,0,,,dns,2,true,dns,,,false,false,false
dns,rest.uniprot.org,,success,success,0,,,dns,1,true,dns,,,false,false,false
dns,www.ebi.ac.uk,,success,success,0,,,dns,1,true,dns,,,false,false,false
urllib_certifi,uniprot_taxon_287_minimal,"https://rest.uniprot.org/uniprotkb/search?query=organism_id:287&format=json&size=1&fields=accession,id,gene_names,protein_name",success,success,0,200,application/json,json,790,true,uniprot,"{""ok"": true, ""http_status"": 200, ""content_type"": ""application/json"", ""bytes"": 790}",,false,false,false
urllib_default,uniprot_taxon_287_minimal,"https://rest.uniprot.org/uniprotkb/search?query=organism_id:287&format=json&size=1&fields=accession,id,gene_names,protein_name",success,success,0,200,application/json,json,790,true,uniprot,"{""ok"": true, ""http_status"": 200, ""content_type"": ""application/json"", ""bytes"": 790}",,false,false,false
request_provider_payload,uniprot_taxon_287_minimal,"https://rest.uniprot.org/uniprotkb/search?query=organism_id:287&format=json&size=1&fields=accession,id,gene_names,protein_name",success,success,0,200,application/json,json,1,true,uniprot,"{""ok"": true, ""http_status"": 200, ""content_type"": ""application/json"", ""payload_type"": ""json"", ""error_status"": """", ""rejection_reason"": """", ""record_count"": 1}",,false,false,false
urllib_certifi,interpro_minimal,https://www.ebi.ac.uk/interpro/api/entry/interpro/protein/uniprot/P0A7V0/?page_size=1,success,success,0,200,application/json,json,1035,true,interpro,"{""ok"": true, ""http_status"": 200, ""content_type"": ""application/json"", ""bytes"": 1035}",,false,false,false
urllib_default,interpro_minimal,https://www.ebi.ac.uk/interpro/api/entry/interpro/protein/uniprot/P0A7V0/?page_size=1,success,success,0,200,application/json,json,1035,true,interpro,"{""ok"": true, ""http_status"": 200, ""content_type"": ""application/json"", ""bytes"": 1035}",,false,false,false
request_provider_payload,interpro_minimal,https://www.ebi.ac.uk/interpro/api/entry/interpro/protein/uniprot/P0A7V0/?page_size=1,success,success,0,200,application/json,json,1,true,interpro,"{""ok"": true, ""http_status"": 200, ""content_type"": ""application/json"", ""payload_type"": ""json"", ""error_status"": """", ""rejection_reason"": """", ""record_count"": 1}",,false,false,false
urllib_certifi,europe_pmc_minimal,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE:ribosome&format=json&pageSize=1,success,success,0,200,application/json;charset=UTF-8,json,987,true,europe_pmc,"{""ok"": true, ""http_status"": 200, ""content_type"": ""application/json;charset=UTF-8"", ""bytes"": 987}",,false,false,false
