protein_id,gene,domain_overlap_score,host_criticality_penalty,database
PA0001,gyrB,0.94,0.96,example_curated_demo
PA0002,rpoB,0.02,0.04,example_curated_demo
PA0003,ftsZ,0.03,0.05,example_curated_demo
PA0004,murA,0.02,0.03,example_curated_demo
PA0005,fabI,0.04,0.05,example_curated_demo
PA0006,acpP,0.61,0.67,example_curated_demo
PA0007,oprD,0.05,0.06,example_curated_demo
PA0008,lasB,0.03,0.04,example_curated_demo
PA0009,algD,0.03,0.04,example_curated_demo
PA0010,pvdA,0.02,0.03,example_curated_demo
