protein_id,gene,essential,evidence,database,essentiality_status,evidence_source_type,candidate_seed_provider,candidate_seed_accession,candidate_seed_note
B4XMC6,lysA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,B4XMC6,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q56S04,aroE,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q56S04,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
O30511,fucT,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,O30511,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
A3KEZ1,dadA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,A3KEZ1,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q59467,copA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q59467,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q1M0P5,metB,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q1M0P5,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
A8KRL3,tenA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,A8KRL3,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
O08462,copA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,O08462,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
P77871,copA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,P77871,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q48245,vacA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q48245,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q48247,vacA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q48247,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
O87196,ccoP,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,O87196,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q48253,vacA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q48253,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q48258,vacA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q48258,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
P55746,cagA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,P55746,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
P80200,cagA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,P80200,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q48244,hpaA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q48244,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q48264,hpaA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q48264,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q48254,hpaA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q48254,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q48259,hap,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q48259,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
Q48261,hpaA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,Q48261,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
A0A083YEZ1,ureA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,A0A083YEZ1,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
A0AAC8MZX9,gyrB,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,A0AAC8MZX9,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
A0AAC8SAV3,gyrA,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,A0AAC8SAV3,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
B7U8J3,ureB,,,computed_uniprot_api_v1:candidate_seed,unresolved_online_seed,online_external_candidate_discovery,uniprot_rest,B7U8J3,UniProt-derived candidate seed only; essentiality not experimentally validated by this row.
