protein_id,gene,core_genome_presence,strain_coverage_score,allelic_conservation,variant_burden,database
PA0001,gyrB,1.00,0.98,0.96,0.08,synthetic_public_fixture_v1
PA0002,rpoB,1.00,0.99,0.97,0.05,synthetic_public_fixture_v1
PA0003,ftsZ,0.98,0.96,0.95,0.09,synthetic_public_fixture_v1
PA0004,murA,1.00,0.99,0.98,0.04,synthetic_public_fixture_v1
PA0005,fabI,0.97,0.94,0.93,0.11,synthetic_public_fixture_v1
PA0006,acpP,0.99,0.97,0.94,0.10,synthetic_public_fixture_v1
PA0007,oprD,0.85,0.82,0.80,0.22,synthetic_public_fixture_v1
PA0008,lasB,0.88,0.86,0.83,0.20,synthetic_public_fixture_v1
PA0009,algD,0.90,0.88,0.84,0.18,synthetic_public_fixture_v1
PA0010,pvdA,0.92,0.90,0.87,0.16,synthetic_public_fixture_v1
