protein_id,gene,network_centrality,pathway_bottleneck_score,redundancy_penalty,functional_dependency_score,database
PA0001,gyrB,0.91,0.89,0.18,0.90,example_curated_demo
PA0002,rpoB,0.95,0.92,0.16,0.93,example_curated_demo
PA0003,ftsZ,0.90,0.87,0.22,0.88,example_curated_demo
PA0004,murA,0.87,0.90,0.20,0.86,example_curated_demo
PA0005,fabI,0.76,0.70,0.32,0.72,example_curated_demo
PA0006,acpP,0.72,0.68,0.38,0.70,example_curated_demo
PA0007,oprD,0.61,0.55,0.44,0.50,example_curated_demo
PA0008,lasB,0.66,0.58,0.40,0.57,example_curated_demo
PA0009,algD,0.69,0.73,0.37,0.68,example_curated_demo
PA0010,pvdA,0.71,0.76,0.35,0.74,example_curated_demo
