gene,protein_id,evidence_status,evidence_source,source_database,reference,confidence,notes,literature_support_score,pmid,finding,experimental_support
ureA,,positive_evidence,curated_literature,UniProt/NCBI/PubMed,"UniProt P14916; Mobley 2001 NCBI Bookshelf; Karita 1995 PMID:8775011",0.90,"Urease alpha supports acid survival and colonization",0.90,8775011,"urease mutant/colonization evidence; acid survival role",yes
ureB,,positive_evidence,curated_literature,UniProt/NCBI/PubMed,"UniProt P69996; Mobley 2001 NCBI Bookshelf; Karita 1995 PMID:8775011",0.90,"Urease beta supports acid survival and colonization",0.90,8775011,"urease mutant/colonization evidence; acid survival role",yes
cagA,,positive_evidence,curated_literature,review/PubMed,"Roesler 2014 PMC4019226; Baj 2020 PMC7824444; Shiota 2013 PMID:23452293",0.90,"CagA is a major virulence factor linked to severe clinical outcomes",0.90,23452293,"CagA virulence and clinical severity association",review
vacA,,positive_evidence,curated_literature,review/PubMed,"UniProt P55981; Baj 2020 PMC7824444; Brasil-Costa 2022 PMC9028951",0.88,"VacA is a major vacuolating cytotoxin and virulence factor",0.88,,"VacA virulence, colonization/survival support",review
flaA,,positive_evidence,curated_literature,UniProt/PubMed,"UniProt P0A0S1; Ottemann 2002 PMC127824",0.82,"Motility/flagella required for initial colonization",0.82,,"Flagella/motility colonization evidence",yes
napA,,positive_evidence,curated_literature,PMC/PubMed,"Fu 2014 PMC4017044; Wang 2006 PMC1698064; Satin 2000 PMC2213429",0.85,"HP-NAP is a virulence factor involved in neutrophil activation and inflammation",0.85,,"HP-NAP pathogenic/inflammatory role",yes
gyrA,,probable_positive_evidence,curated_literature,review/PubMed,"Lopez-Gasca 2018 PMC5928819; Hasanuzzaman 2024 PMC10825452",0.65,"Resistance/antibiotic target evidence",0.65,,"gyrA/gyrB mutations associated with levofloxacin resistance",review
gyrB,,probable_positive_evidence,curated_literature,review/PubMed,"Lopez-Gasca 2018 PMC5928819; Hasanuzzaman 2024 PMC10825452",0.65,"Resistance/antibiotic target evidence",0.65,,"gyrA/gyrB mutations associated with levofloxacin resistance",review
rpoB,,probable_positive_evidence,curated_literature,CARD/review,"CARD rpoB H. pylori rifampicin resistance; Hasanuzzaman 2024 PMC10825452",0.60,"Resistance/antibiotic target evidence",0.60,,"rpoB mutations related to rifampicin resistance",database_review
ftsZ,,probable_positive_evidence,curated_literature,PMC/review,"Specht 2013 PMC3624519; Andreu 2022 Biomedicines",0.60,"Cell division target evidence",0.60,23335414,"FtsZ dynamics/localization in H. pylori; bacterial cytokinesis target",yes
dnaA,,probable_positive_evidence,curated_literature,PMC/NCBI,"Natrajan 2009 PMC2795545; Takeuchi 2001 NCBI Bookshelf",0.58,"Replication initiation context",0.58,,"DnaA/HobA replication initiation context",yes
