provider_key,provider,role,current_connection_status,accepted_payload,rejected_payloads,evidence_can_be_inferred,degradation_statuses,blocks_ranking,affects_score_when_degraded,provenance_required,publication_readiness,limitation_for_manuscript
candidate_seed,candidate_seed,online-only candidate universe seed,required_seed_layer,json,empty;html;invalid_payload;network_error;ssl_error;unexpected_text;zip,true,candidate_seed_unresolved,true,false,true,contract_ready_blocking_seed,Candidate seed defines the computable universe and is not therapeutic evidence.
uniprot,UniProt,candidate seed and localization enrichment,structured_json_supported,json,empty;html;invalid_payload;network_error;ssl_error;unexpected_text;zip,true,ssl_error;network_error;invalid_payload;empty_payload,false,false,true,ready_with_transport_limitations,UniProt provides computational annotations; absence or transport failure is unresolved.
string,STRING,functional network enrichment,structured_json_supported,json,empty;html;invalid_payload;network_error;ssl_error;unexpected_text;zip,true,ssl_error;network_error;invalid_payload;not_found,false,false,true,ready_with_transport_limitations,"STRING associations are computational network metadata, not experimental validation."
interpro,InterPro,host-annotation domain overlap enrichment,structured_json_supported,json,empty;html;invalid_payload;network_error;ssl_error;unexpected_text;zip,true,ssl_error;network_error;invalid_payload;unresolved,false,false,true,ready_with_transport_limitations,InterPro overlap is structural metadata; unresolved status is not host-safety evidence.
bvbrc,BV-BRC,strain conservation and genome metadata enrichment,structured_json_supported_when_query_resolves,json,empty;html;invalid_payload;network_error;ssl_error;unexpected_text;zip,true,empty_payload;auth_or_permission_error;not_found;network_error;invalid_payload,false,false,true,conditional_ready,BV-BRC interpretation depends on query resolution and should not treat empty payloads as strong negatives.
vfdb,VFDB,virulence provider endpoint audit,degraded_no_stable_programmatic_route_verified,json;tabular_text,empty;html;invalid_payload;network_error;ssl_error;unexpected_text;zip,true,html_instead_of_structured_payload;not_found;network_error;invalid_payload,false,false,true,not_ready_for_automatic_evidence,VFDB requires a stable programmatic route before automatic virulence evidence can be claimed.
deg,DEG,essentiality provider endpoint audit,degraded_zip_requires_adapter,json;tabular_text,empty;html;invalid_payload;network_error;ssl_error;unexpected_text;zip,true,html_instead_of_structured_payload;unsupported_structured_archive;network_error;invalid_payload,false,false,true,not_ready_for_automatic_evidence,DEG ZIP/downloads need a versioned adapter before automatic essentiality evidence can be claimed.
europe_pmc,Europe PMC,literature metadata enrichment,structured_json_supported,json,empty;html;invalid_payload;network_error;ssl_error;unexpected_text;zip,true,network_error;invalid_payload;empty_payload,false,false,true,ready_as_metadata_only,Literature metadata is not experimental validation unless explicitly curated later.
taxonomy,Taxonomy,organism identity and taxon resolution,structured_json_supported,json,empty;html;invalid_payload;network_error;ssl_error;unexpected_text;zip,true,network_error;online_no_match;invalid_payload,false,false,true,ready_as_identity_metadata,Taxonomy resolution identifies the run context and does not validate therapeutic evidence.
human_essentiality,Human essentiality,host essentiality context for host annotation,local_or_structured_download_supported,tabular_text;json,empty;html;invalid_payload;network_error;ssl_error;unexpected_text;zip,true,network_error;not_found;empty_payload;invalid_payload,false,false,true,ready_as_contextual_metadata,Human essentiality context is incomplete and should not be overread as host safety validation.
