protein_id,gene,network_centrality,pathway_bottleneck_score,redundancy_penalty,functional_dependency_score,database
PA0001,gyrB,0.82,0.80,0.20,0.78,synthetic_public_fixture_v1
PA0002,dnaA,0.88,0.85,0.10,0.86,synthetic_public_fixture_v1
PA0003,ftsZ,0.90,0.92,0.10,0.90,synthetic_public_fixture_v1
PA0004,murA,0.95,0.96,0.05,0.95,synthetic_public_fixture_v1
PA0005,lasR,0.70,0.75,0.35,0.72,synthetic_public_fixture_v1
PA0006,algD,0.62,0.65,0.40,0.64,synthetic_public_fixture_v1
PA0007,oprF,0.78,0.74,0.25,0.76,synthetic_public_fixture_v1
PA0008,secA,0.86,0.88,0.15,0.85,synthetic_public_fixture_v1
PA0009,folA,0.72,0.70,0.30,0.71,synthetic_public_fixture_v1
PA0010,rpoB,0.84,0.86,0.20,0.83,synthetic_public_fixture_v1
