protein_id,gene,human_homolog,evalue,human_gene,database
PA0001,gyrB,0,1.0e-08,,synthetic_public_fixture_v1
PA0002,rpoB,0,1.0,,synthetic_public_fixture_v1
PA0003,ftsZ,0,1.0,,synthetic_public_fixture_v1
PA0004,murA,0,1.0,,synthetic_public_fixture_v1
PA0005,fabI,0,1.0,,synthetic_public_fixture_v1
PA0006,acpP,1,1.0e-30,HOST_RISK_FIXTURE,synthetic_public_fixture_v1
PA0007,oprD,0,1.0,,synthetic_public_fixture_v1
PA0008,lasB,0,1.0e-04,,synthetic_public_fixture_v1
PA0009,algD,0,1.0,,synthetic_public_fixture_v1
PA0010,pvdA,0,1.0e-06,,synthetic_public_fixture_v1
