layer,status,labels,primary_source,evidence_priority_level,evidence_priority_reason,external_database_connected,participates_in_scoring,scientific_risk,recommendation
essentiality,Parcialmente conectada,"user_curated;organism_specific;external_real;cache_possible;raw_local;demo",data_user/essentiality.csv when present,2_external_real_traceable,"La capa tiene proveedor DEG real y cacheable, pero la mejor evidencia sigue siendo curacion especifica del organismo por el usuario cuando exista.",true,true,medium,Usar esencialidad curada para el organismo/cepa como fuente primaria; DEG debe funcionar como soporte trazable o relleno cacheado.
virulence,Parcialmente conectada,"user_curated;organism_specific;external_real;cache_possible;raw_local;demo",data_user/virulence.csv when present,2_external_real_traceable,"La capa tiene proveedor VFDB real y cacheable, pero la evidencia de virulencia debe priorizar curacion organism-specific cuando exista.",true,true,medium,Separar evidencia de factor de virulencia confirmado de asociaciones generales; documentar organismo, cepa y tipo experimental.
human_homologs,Parcialmente conectada,"user_curated;external_real;external_general;external_stub;cache_possible;raw_local;demo",data_user/human_homologs.csv when present,6_proxy_or_controlled,"Aunque usa UniProt real, el proveedor actual puede depender de backfill configurable; por seguridad metodologica se clasifica como hibrido con riesgo de stub.",true,true,high,Reemplazar o complementar el stub con ortologia curada o tablas revisadas manualmente para seguridad frente al hospedero.
localization,Conectada a fuente externa real,"user_curated;organism_specific;external_real;cache_possible;raw_local;demo",data_user/localization.csv when present,2_external_real_traceable,"UniProt REST esta implementado como fuente real y cacheable; datos curados por usuario siguen teniendo prioridad si existen.",true,true,medium,Registrar si la localizacion es experimental, predicha o inferida y mantener UniProt cacheado para reproducibilidad.
strain_conservation,Parcialmente conectada,"user_curated;organism_specific;external_real;cache_possible;raw_local;demo;proxy",data_user/strain_conservation.csv when present,2_external_real_traceable,"BV-BRC es una fuente real y cacheable para presencia por cepa, pero los campos de variantes pueden ser aproximados si no hay datos directos.",true,true,medium,Documentar el conjunto de cepas y separar presencia/ausencia observada de metricas de variantes inferidas o default.
functional_network,Conectada a fuente externa real,"user_curated;organism_specific;external_real;cache_possible;raw_local;internally_computed;demo;proxy",STRING provider string_real,2_external_real_traceable,"STRING real esta implementado y cacheable; las metricas internas derivadas de red deben reportarse como calculadas/proxy.",true,true,medium,Mantener manifest de STRING y aclarar que centralidad y dependencia son metricas derivadas.
clinical_impact,Demo/proxy,"user_curated;cache_possible;raw_local;internally_computed;controlled_provider;proxy;demo",controlled_therapeutic_context_v2,6_proxy_or_controlled,"La capa se genera por proveedor controlado o proxies internos; no representa una base clinica externa viva ni evidencia experimental.",false,true,high,Tratar como capa semicurada de apoyo y reemplazar por curacion clinica o evidencia experimental.
curated_disease_context,Demo/proxy,"user_curated;cache_possible;raw_local;internally_computed;controlled_provider;proxy;demo",controlled_therapeutic_context_v2,6_proxy_or_controlled,"La relevancia en infeccion se materializa por reglas controladas o proxy; requiere evidencia organism-specific para subir de prioridad.",false,true,high,Conectar o curar evidencia de expresion/relevancia en infeccion antes de usar esta capa para decisiones biologicas fuertes.
therapy_site_context,Demo/proxy,"user_curated;cache_possible;raw_local;internally_computed;controlled_provider;proxy;demo",controlled_therapeutic_context_v2,6_proxy_or_controlled,"La accesibilidad del sitio terapeutico se estima desde reglas controladas/localizacion; no es una medicion farmacologica directa.",false,true,high,Usar la capa como aproximacion hasta cargar datos curados de sitio de infeccion o evidencia farmacologica.
host_annotation,InterPro con essentialidad humana auxiliar,"user_curated;raw_local;cache_possible;external_real;controlled_provider;demo;template_only",data_user/host_annotation.csv or data_cache/host_annotation.csv or data_external/host_annotation.csv or data_raw/host_annotation.csv,2_external_real_traceable,"InterPro aporta dominios reales y la essentialidad humana puede modular criticidad; si faltan dominios comparables, cae a fallback controlado y lo marca.",true,true,medium,Agregar expresion por tejido o contexto celular hospedero para interpretar seguridad como fuerte.
literature_support,Desactivada por defecto,"literature_curated;disabled_by_default;template_only;demo;user_curated",manual literature curation by user,8_missing_or_template_only,"La capa esta preparada para curacion manual y reportes interpretativos, pero no participa en scoring y el demo contiene referencias pendientes.",false,false,medium,Mantener desactivada para scoring; usarla para notas interpretativas hasta que exista curacion manual trazable.
