gene,protein_id,evidence_status,evidence_source,source_database,reference,confidence,notes,virulence_factor,virulence_score,virulence_factor_label
ureA,,positive_evidence,curated_literature,UniProt/NCBI/PubMed,UniProt P14916; Mobley 2001 NCBI Bookshelf; Karita 1995 PMID:8775011,0.9,Urease alpha subunit; urease supports acid survival and gastric colonization,1,0.9,urease_acid_survival_colonization
ureB,,positive_evidence,curated_literature,UniProt/NCBI/PubMed,UniProt P69996; Mobley 2001 NCBI Bookshelf; Karita 1995 PMID:8775011,0.9,Urease beta subunit; urease supports acid survival and gastric colonization,1,0.9,urease_acid_survival_colonization
cagA,,positive_evidence,curated_literature,review/PubMed,Roesler 2014 PMC4019226; Baj 2020 PMC7824444; Shiota 2013 PMID:23452293,0.9,Major virulence effector associated with severe clinical outcomes and gastric pathogenicity,1,0.95,cagA_virulence_effector
vacA,,positive_evidence,curated_literature,UniProt/review/PubMed,UniProt P55981; Baj 2020 PMC7824444; Brasil-Costa 2022 PMC9028951,0.88,Vacuolating cytotoxin; important virulence factor in gastric epithelial colonization/survival,1,0.9,vacuolating_cytotoxin
flaA,,positive_evidence,curated_literature,UniProt/PubMed,UniProt P0A0S1; Ottemann 2002 PMC127824,0.82,Flagellin A; motility/flagella required for initial stomach colonization,1,0.8,flagellar_motility_colonization
napA,,positive_evidence,curated_literature,PubMed/PMC,Fu 2014 PMC4017044; Wang 2006 PMC1698064; Satin 2000 PMC2213429,0.85,Neutrophil-activating protein; virulence factor involved in inflammation/pathogenesis,1,0.85,neutrophil_activating_protein
gyrA,,unresolved_evidence,curated_literature,review/PubMed,Lopez-Gasca 2018 PMC5928819; Hasanuzzaman 2024 PMC10825452,0.55,"Antibiotic resistance/target relevance, but not curated here as virulence factor",0,0.2,
gyrB,,unresolved_evidence,curated_literature,review/PubMed,Lopez-Gasca 2018 PMC5928819; Hasanuzzaman 2024 PMC10825452,0.55,"Antibiotic resistance/target relevance, but not curated here as virulence factor",0,0.2,
rpoB,,unresolved_evidence,curated_literature,CARD/review,CARD rpoB H. pylori rifampicin resistance; Hasanuzzaman 2024 PMC10825452,0.5,"Antibiotic target/resistance relevance, not direct virulence evidence",0,0.1,
ftsZ,,unresolved_evidence,curated_literature,PubMed/PMC,Specht 2013 PMID:23335414; Specht 2013 PMC3624519,0.5,Cell division protein; no direct virulence evidence assigned in this table,0,0.1,
dnaA,,unresolved_evidence,curated_literature,PMC/NCBI,Natrajan 2009 PMC2795545; Takeuchi 2001 NCBI Bookshelf,0.5,Replication initiator context; no direct virulence evidence assigned in this table,0,0.1,
