protein_id,gene,domain_overlap_score,host_criticality_penalty,database
PA0001,gyrB,0.10,0.10,synthetic_public_fixture_v1
PA0002,rpoB,0.05,0.05,synthetic_public_fixture_v1
PA0003,ftsZ,0.05,0.05,synthetic_public_fixture_v1
PA0004,murA,0.00,0.00,synthetic_public_fixture_v1
PA0005,fabI,0.05,0.05,synthetic_public_fixture_v1
PA0006,acpP,0.95,0.95,synthetic_public_fixture_v1
PA0007,oprD,0.05,0.05,synthetic_public_fixture_v1
PA0008,lasB,0.10,0.10,synthetic_public_fixture_v1
PA0009,algD,0.05,0.05,synthetic_public_fixture_v1
PA0010,pvdA,0.10,0.10,synthetic_public_fixture_v1
